timestamp,cpu_percent,memory_percent,memory_available_mb,disk_write_mbps,process_count
2026-08-02 14:47:22,9.6,78.2,2646.59,1.35,247
2026-08-02 14:47:27,14.3,78.0,2676.89,0.84,247
2026-08-02 14:47:32,9.5,78.2,2650.79,0.64,248
2026-08-02 14:47:37,8.1,78.2,2648.0,0.52,249
2026-08-02 14:47:42,8.6,78.3,2645.29,0.54,249
2026-08-02 14:47:47,8.1,78.3,2637.57,0.59,249
2026-08-02 14:47:52,13.6,78.4,2633.8,0.65,248
2026-08-02 14:47:57,11.8,78.2,2658.1,1.37,246
2026-08-02 14:48:02,9.0,78.1,2662.68,0.58,245
2026-08-02 14:48:07,7.8,78.2,2655.29,0.5,245
2026-08-02 14:48:12,10.2,78.1,2668.08,0.52,245
2026-08-02 14:48:17,8.9,78.5,2617.47,0.58,246
2026-08-02 14:48:22,10.6,78.4,2631.44,1.08,246
2026-08-02 14:48:27,8.4,78.4,2626.59,0.23,246
2026-08-02 14:48:32,8.8,78.5,2615.23,0.23,246
2026-08-02 14:48:37,11.7,78.4,2625.88,0.22,245
2026-08-02 14:48:42,5.8,78.4,2623.59,0.2,245
2026-08-02 14:48:47,6.1,78.5,2616.86,0.15,245
2026-08-02 14:48:52,6.6,78.5,2615.28,0.26,244
2026-08-02 14:48:57,9.1,78.6,2608.56,0.19,244
2026-08-02 14:49:02,9.1,78.3,2645.13,0.18,243
2026-08-02 14:49:07,12.4,78.3,2639.7,0.16,243
2026-08-02 14:49:12,7.1,78.3,2642.27,0.15,243
2026-08-02 14:49:17,6.4,78.1,2660.14,0.46,240
2026-08-02 14:49:22,6.2,78.1,2663.38,0.17,240
2026-08-02 14:49:27,7.7,77.9,2687.82,0.66,240
2026-08-02 14:49:32,11.1,77.8,2695.72,0.18,240
2026-08-02 14:49:37,6.4,77.8,2699.87,0.18,240
2026-08-02 14:49:42,6.7,77.9,2694.8,0.14,240
2026-08-02 14:49:47,6.8,77.9,2692.51,0.17,240
2026-08-02 14:49:52,7.7,77.9,2687.3,0.17,240
2026-08-02 14:49:57,16.9,77.8,2698.42,0.2,243
2026-08-02 14:50:02,13.8,77.9,2691.75,0.24,242
2026-08-02 14:50:07,6.2,77.8,2695.59,0.23,242
2026-08-02 14:50:12,7.4,77.9,2685.18,0.13,242
2026-08-02 14:50:17,15.3,77.6,2724.5,0.18,242
2026-08-02 14:50:22,7.7,77.7,2711.3,0.19,242
2026-08-02 14:50:27,9.8,77.6,2730.74,0.18,241
2026-08-02 14:50:32,6.8,77.5,2738.88,0.19,239
2026-08-02 14:50:37,7.5,77.5,2731.59,0.15,239
2026-08-02 14:50:42,6.2,77.6,2720.74,0.16,239
2026-08-02 14:50:47,4.8,77.6,2720.59,0.16,239
2026-08-02 14:50:52,10.6,77.5,2734.58,0.16,239
2026-08-02 14:50:57,9.9,77.6,2728.16,0.17,238
2026-08-02 14:51:02,6.1,77.6,2722.05,0.26,238
2026-08-02 14:51:07,6.2,77.7,2716.2,0.64,238
2026-08-02 14:51:12,5.8,77.8,2705.94,0.18,238
2026-08-02 14:51:17,8.8,77.6,2726.86,0.14,238
2026-08-02 14:51:22,6.6,77.6,2723.2,0.22,238
2026-08-02 14:51:27,5.6,77.7,2718.76,0.16,237
2026-08-02 14:51:32,6.6,77.6,2723.09,0.11,237
2026-08-02 14:51:37,6.7,77.7,2716.62,0.17,237
2026-08-02 14:51:42,10.0,77.5,2735.63,0.16,237
2026-08-02 14:51:47,6.8,77.5,2733.03,0.15,237
2026-08-02 14:51:52,5.6,77.6,2723.57,0.16,237
2026-08-02 14:51:57,13.6,77.6,2728.04,0.38,236
2026-08-02 14:52:02,6.2,77.6,2728.58,0.16,236
2026-08-02 14:52:07,10.1,77.4,2746.89,0.12,236
2026-08-02 14:52:12,7.5,77.4,2745.66,0.33,236
2026-08-02 14:52:17,8.7,77.3,2758.73,0.17,236
2026-08-02 14:52:22,6.1,77.3,2758.3,0.14,236
2026-08-02 14:52:27,5.8,77.4,2750.52,0.24,236
2026-08-02 14:52:32,10.4,77.3,2761.61,0.2,236
2026-08-02 14:52:37,7.2,77.3,2762.14,0.11,236
2026-08-02 14:52:42,6.9,77.4,2750.38,0.19,236
2026-08-02 14:52:47,12.1,77.9,2690.53,0.21,237
2026-08-02 14:52:52,9.0,77.6,2724.19,0.31,237
2026-08-02 14:52:57,15.7,77.6,2729.74,0.26,237
2026-08-02 14:53:02,10.0,78.0,2671.28,2.85,238
2026-08-02 14:53:07,7.4,78.1,2664.27,0.27,238
2026-08-02 14:53:12,13.2,77.8,2702.68,0.19,238
2026-08-02 14:53:17,6.1,77.6,2724.75,0.26,237
2026-08-02 14:53:22,9.6,77.5,2742.99,0.17,237
2026-08-02 14:53:27,7.4,77.6,2726.58,0.19,237
2026-08-02 14:53:32,7.2,77.3,2761.19,0.21,236
2026-08-02 14:53:37,7.0,77.3,2764.55,0.16,236
2026-08-02 14:53:42,6.8,77.3,2764.18,0.11,236
2026-08-02 14:53:47,10.3,77.2,2772.79,0.19,236
2026-08-02 14:53:52,7.8,77.3,2765.88,0.17,236
2026-08-02 14:53:57,10.1,77.4,2754.19,0.15,236
2026-08-02 14:54:02,6.8,77.5,2741.57,0.16,236
2026-08-02 14:54:07,7.8,77.5,2736.16,0.18,236
2026-08-02 14:54:12,10.5,77.4,2749.33,0.14,236
2026-08-02 14:54:17,6.8,77.4,2754.46,0.13,236
2026-08-02 14:54:22,6.6,77.5,2734.87,0.22,242
2026-08-02 14:54:27,6.5,77.6,2724.94,0.21,239
2026-08-02 14:54:32,7.3,77.6,2730.79,0.16,239
2026-08-02 14:54:37,9.7,77.2,2773.38,0.19,235
2026-08-02 14:54:42,6.2,77.1,2781.11,0.21,235
2026-08-02 14:54:47,6.2,77.2,2769.78,0.14,235
2026-08-02 14:54:52,7.7,77.0,2799.64,0.17,235
2026-08-02 14:54:57,12.9,76.9,2807.7,0.18,235
2026-08-02 14:55:02,6.7,76.9,2808.11,0.19,235
2026-08-02 14:55:07,6.2,77.0,2798.65,0.24,236
2026-08-02 14:55:12,6.7,77.0,2804.18,0.16,236
2026-08-02 14:55:17,7.3,76.9,2805.01,0.22,236
2026-08-02 14:55:22,9.5,76.8,2818.4,0.14,236
2026-08-02 14:55:27,5.9,77.1,2785.09,0.15,236
2026-08-02 14:55:32,6.2,77.1,2785.83,0.18,236
2026-08-02 14:55:37,6.4,77.2,2779.26,0.17,236
2026-08-02 14:55:42,5.1,77.2,2775.05,0.14,236
2026-08-02 14:55:47,5.9,77.2,2769.38,0.17,236
2026-08-02 14:55:52,10.0,76.9,2815.95,0.18,236
2026-08-02 14:55:57,8.6,76.4,2871.8,1.28,236
2026-08-02 14:56:02,12.5,77.1,2791.52,4.23,237
2026-08-02 14:56:07,11.4,77.7,2713.5,3.58,238
2026-08-02 14:56:12,8.6,77.7,2713.62,0.19,238
2026-08-02 14:56:17,21.4,77.1,2783.39,0.22,238
2026-08-02 14:56:22,14.4,76.9,2806.66,0.23,238
2026-08-02 14:56:27,7.2,77.0,2795.22,0.2,238
2026-08-02 14:56:32,6.8,76.7,2840.61,0.14,237
2026-08-02 14:56:37,6.9,76.7,2838.52,0.23,237
2026-08-02 14:56:42,7.6,76.7,2840.07,0.13,237
2026-08-02 14:56:47,10.0,76.3,2877.93,0.13,236
2026-08-02 14:56:52,7.0,76.4,2876.55,0.24,236
2026-08-02 14:56:57,6.0,76.4,2869.76,0.24,236
2026-08-02 14:57:02,5.9,76.4,2865.8,0.37,236
2026-08-02 14:57:07,8.4,76.8,2818.64,0.23,237
2026-08-02 14:57:12,9.0,76.7,2839.14,0.18,237
2026-08-02 14:57:17,6.6,76.6,2846.22,0.25,236
2026-08-02 14:57:22,6.2,76.7,2838.29,0.17,236
2026-08-02 14:57:27,6.3,76.8,2825.34,0.23,236
2026-08-02 14:57:32,7.2,76.9,2814.99,0.15,236
2026-08-02 14:57:37,9.0,76.4,2872.39,0.15,235
2026-08-02 14:57:42,6.2,76.4,2868.64,0.17,235
2026-08-02 14:57:47,6.4,76.5,2859.8,0.15,235
2026-08-02 14:57:52,7.1,76.6,2847.17,0.16,235
2026-08-02 14:57:57,6.9,76.7,2837.46,0.19,235
2026-08-02 14:58:02,10.9,76.5,2857.05,0.15,235
2026-08-02 14:58:07,7.2,76.5,2859.31,0.16,235
2026-08-02 14:58:12,5.7,76.5,2857.55,0.17,235
2026-08-02 14:58:17,5.9,76.6,2850.16,0.15,235
2026-08-02 14:58:22,7.6,76.5,2858.16,0.16,235
2026-08-02 14:58:27,9.4,76.4,2869.41,0.15,235
2026-08-02 14:58:32,13.3,76.1,2905.43,0.64,235
2026-08-02 14:58:37,6.9,76.1,2906.3,0.24,235
2026-08-02 14:58:42,7.1,76.1,2905.12,0.14,235
2026-08-02 14:58:47,7.5,76.2,2900.29,0.19,235
2026-08-02 14:58:52,6.9,76.3,2889.32,0.16,235
2026-08-02 14:58:57,6.4,76.3,2878.24,0.14,235
2026-08-02 14:59:02,32.7,79.9,2441.83,0.93,242
2026-08-02 14:59:07,26.3,81.6,2240.27,0.61,242
2026-08-02 14:59:12,30.1,81.5,2246.32,0.33,243
2026-08-02 14:59:17,42.0,82.7,2099.67,0.58,244
2026-08-02 14:59:22,30.8,83.8,1974.06,0.45,244
2026-08-02 14:59:27,30.2,84.1,1932.11,0.28,244
2026-08-02 14:59:32,65.9,83.9,1955.09,0.58,242
2026-08-02 14:59:37,46.6,83.7,1985.92,0.38,241
2026-08-02 14:59:42,30.5,82.4,2142.83,2.34,241
2026-08-02 14:59:47,22.4,82.5,2132.48,0.27,241
2026-08-02 14:59:52,44.7,83.1,2059.67,0.25,241
2026-08-02 14:59:57,44.5,83.4,2017.46,0.99,239
2026-08-02 15:00:02,32.9,82.5,2131.55,0.28,238
2026-08-02 15:00:07,30.4,82.5,2134.68,0.37,237
2026-08-02 15:00:12,37.8,82.6,2119.21,0.23,237
2026-08-02 15:00:17,35.5,82.5,2127.98,0.22,237
2026-08-02 15:00:22,31.1,82.9,2083.19,0.26,238
2026-08-02 15:00:27,35.8,83.2,2044.96,0.28,238
2026-08-02 15:00:32,25.1,83.4,2014.9,0.16,238
2026-08-02 15:00:37,26.6,84.2,1921.33,0.25,238
2026-08-02 15:00:42,24.5,83.7,1982.16,0.24,238
2026-08-02 15:00:47,15.4,84.3,1906.09,0.13,238
2026-08-02 15:00:52,13.0,84.7,1866.11,0.16,237
2026-08-02 15:00:57,31.8,84.7,1864.68,0.51,237
2026-08-02 15:01:02,38.7,84.9,1839.77,0.2,237
2026-08-02 15:01:07,30.3,85.0,1819.5,0.25,237
2026-08-02 15:01:12,15.0,85.3,1789.1,0.23,237
2026-08-02 15:01:17,28.0,84.0,1942.43,0.16,237
2026-08-02 15:01:22,15.9,84.1,1933.48,0.11,236
2026-08-02 15:01:27,12.4,84.4,1899.63,0.2,235
2026-08-02 15:01:32,22.6,85.4,1775.8,0.18,235
2026-08-02 15:01:37,13.9,85.6,1747.16,3.86,235
2026-08-02 15:01:42,17.2,84.3,1910.26,0.25,235
2026-08-02 15:01:47,19.3,84.0,1949.48,0.24,238
2026-08-02 15:01:52,24.1,83.9,1959.93,0.21,235
2026-08-02 15:01:57,28.0,84.3,1908.02,0.22,235
2026-08-02 15:02:02,22.8,84.4,1902.72,0.3,235
2026-08-02 15:02:07,25.0,84.5,1890.19,0.17,235
2026-08-02 15:02:12,17.9,85.0,1824.62,0.21,235
2026-08-02 15:02:17,27.2,84.5,1883.96,0.26,235
2026-08-02 15:02:23,16.5,84.8,1843.84,0.49,235
